id,numalm,nomalm
1,0,SIN ALMACEN
2,01,ALMACEN GENERAL
3,02,180722
4,03,MERCADO
5,04,PLAZA VERDE
6,05,TEZIUTLAN
7,06,TLAPACOYAN
8,07,AVILA CAMACHO
9,08,TEZIUTLAN 2
10,09,MATERIALES PARA CONSTRUCCION
11,10,REMATES
12,11,
13,12,XALAPA (URSULO G.)
14,13,
15,14,TEZIUTLAN 4
16,15,ALMACEN DE ENSAMBLE
17,16,CEDEVOLNORE
18,17,MISANTLA
19,18,C.ELEC.GARANTIAS
20,19,INDEPENDENCIA
21,20,POZA RICA
22,21,TUXPAN
23,22,PUEBLA
24,23,ALMACEN GENERAL LORENZO
25,24,MELCHOR OCAMPO
26,25,PAPANTLA
27,26,TIHUATLAN
28,27,TEZIUTLAN3
29,28,COATZINTLA
30,29,GUTIERREZ ZAMORA
31,30,VERACRUZ
32,31,POZA RICA 2
33,32,TALLER CADENAS
34,33,BODEGA PLAZA VERDE
35,34,COMERCIO ELECTRONICO
36,35,PAPANTLA 2
37,36,ALFINIO FLORES
38,37,CEDIS-CATORSA
39,38,FACTURACION ML
